linkID,venue1,venue2
0,collection0174,collection0502
1,collection0011,collection0040
2,collection0082,collection0176
3,collection0085,collection1790
4,collection1025,collection1399
5,collection0270,collection1373
6,collection0174,collection1110
7,collection0133,collection0647
8,collection0462,collection0869
9,collection1378,collection2012
10,collection0022,collection0155
11,collection0166,collection0214
12,collection0725,collection0970
13,collection0085,collection0582
14,collection0192,collection1309
15,collection0032,collection0034
16,collection0084,collection0198
17,collection0325,collection0896
18,collection0104,collection0590
19,collection0331,collection0346
20,collection0021,collection0556
21,collection0713,collection1033
22,collection0748,collection1399
23,collection0048,collection0877
24,collection0002,collection0109
25,collection0424,collection1483
26,collection1374,collection1489
27,collection0285,collection0420
28,collection0407,collection1382
29,collection0054,collection1033
30,collection0487,collection1060
31,collection0038,collection0246
32,collection1072,collection1280
33,collection0166,collection1487
34,collection0363,collection0484
35,collection0613,collection0969
36,collection0244,collection0521
37,collection0082,collection0093
38,collection0002,collection1160
39,collection0341,collection1995
40,collection0216,collection0521
41,collection0056,collection0315
42,collection0162,collection0912
43,collection0367,collection1537
44,collection0269,collection2223
45,collection0256,collection0858
46,collection0044,collection2013
47,collection0124,collection1383
48,collection0021,collection1487
49,collection0022,collection2135
50,collection0375,collection0420
51,collection0032,collection0116
52,collection0107,collection0703
53,collection0399,collection1157
54,collection0082,collection0363
55,collection0062,collection0206
56,collection0155,collection0756
57,collection0039,collection0198
58,collection0111,collection0818
59,collection0746,collection0983
60,collection0097,collection0450
61,collection0020,collection0109
62,collection0502,collection1121
63,collection0905,collection1441
64,collection0002,collection0017
65,collection0701,collection0940
66,collection0017,collection1110
67,collection0010,collection0527
68,collection0058,collection1866
69,collection1061,collection1097
70,collection0428,collection1626
71,collection0142,collection0466
72,collection0006,collection0261
73,collection0082,collection1198
74,collection0041,collection1002
75,collection0038,collection0466
76,collection0216,collection1280
77,collection0068,collection0367
78,collection0151,collection1746
79,collection0004,collection0126
80,collection0105,collection0533
81,collection0039,collection0354
82,collection0048,collection1500
83,collection0238,collection0415
84,collection0044,collection0375
85,collection0016,collection0022
86,collection0001,collection1605
87,collection0085,collection1216
88,collection0713,collection1500
89,collection0375,collection0483
90,collection0479,collection0969
91,collection0874,collection1113
92,collection0556,collection0674
93,collection0204,collection0569
94,collection0003,collection1989
95,collection0142,collection0284
96,collection0258,collection0647
97,collection0017,collection0287
98,collection0325,collection1210
99,collection0514,collection1072
100,collection0004,collection0360
101,collection0341,collection0727
102,collection0041,collection0181
103,collection0010,collection1838
104,collection0104,collection0969
105,collection0395,collection0424
106,collection0344,collection2304
107,collection0703,collection1866
108,collection0155,collection0402
109,collection0280,collection1372
110,collection0466,collection1110
111,collection0058,collection0100
112,collection0375,collection1585
113,collection0127,collection0181
114,collection0258,collection0272
115,collection0427,collection1500
116,collection0019,collection0280
117,collection0100,collection0696
118,collection0129,collection1995
119,collection0651,collection1399
120,collection0002,collection1198
121,collection0095,collection1640
122,collection0019,collection1092
123,collection0095,collection0424
124,collection0116,collection1280
125,collection0005,collection0789
126,collection0001,collection1378
127,collection0402,collection0984
128,collection0159,collection0238
129,collection0521,collection2135
130,collection1132,collection1378
131,collection0192,collection0608
132,collection0104,collection0713
133,collection0124,collection0254
134,collection0670,collection0746
135,collection0725,collection1382
136,collection0331,collection1185
137,collection0073,collection0100
138,collection0126,collection0254
139,collection0003,collection0063
140,collection0254,collection1804
141,collection0284,collection0475
142,collection0039,collection0170
143,collection0537,collection0765
144,collection0424,collection0660
145,collection0764,collection1008
146,collection0020,collection0858
147,collection0162,collection0818
148,collection0500,collection1374
149,collection0371,collection0905
150,collection0298,collection0595
151,collection1374,collection1626
152,collection0269,collection0311
153,collection0105,collection0111
154,collection0159,collection1382
155,collection0054,collection1618
156,collection0346,collection1113
157,collection0054,collection0547
158,collection0231,collection0298
159,collection0155,collection0301
160,collection0105,collection0748
161,collection0129,collection0500
162,collection0028,collection1185
163,collection0181,collection1008
164,collection0002,collection0396
165,collection0076,collection1989
166,collection0746,collection1185
167,collection0831,collection1002
168,collection0176,collection1768
169,collection0280,collection0483
170,collection0166,collection1626
171,collection0346,collection1378
172,collection0651,collection2047
173,collection0912,collection1330
174,collection0585,collection0791
175,collection1043,collection1989
176,collection0094,collection1185
177,collection0454,collection1184
178,collection0071,collection0653
179,collection0661,collection2304
180,collection0231,collection0424
181,collection0064,collection0400
182,collection0014,collection0634
183,collection1130,collection1412
184,collection0034,collection0713
185,collection0061,collection0198
186,collection0108,collection0371
187,collection0874,collection1121
188,collection0020,collection0278
189,collection0325,collection0856
190,collection0424,collection2211
191,collection0073,collection0404
192,collection0514,collection1630
193,collection0238,collection0634
194,collection0245,collection0746
195,collection0063,collection1208
196,collection0525,collection2135
197,collection0315,collection0669
198,collection0276,collection0721
199,collection0328,collection1378
200,collection0107,collection0287
201,collection0001,collection0360
202,collection1092,collection1412
203,collection0068,collection2040
204,collection0402,collection0748
205,collection0008,collection0897
206,collection0231,collection0287
207,collection0488,collection0677
208,collection0204,collection0242
209,collection0748,collection0927
210,collection1002,collection1376
211,collection0063,collection0415
212,collection0001,collection0084
213,collection0127,collection1043
214,collection0647,collection0897
215,collection0052,collection0415
216,collection0395,collection0566
217,collection0014,collection0300
218,collection0001,collection0006
219,collection0038,collection0415
220,collection0020,collection0151
221,collection0725,collection1487
222,collection1002,collection1216
223,collection0084,collection0188
224,collection0514,collection1487
225,collection0155,collection0653
226,collection0093,collection0094
227,collection0019,collection0485
228,collection0420,collection0710
229,collection0155,collection0542
230,collection0187,collection1376
231,collection0032,collection0746
232,collection0301,collection0432
233,collection0242,collection0677
234,collection0064,collection1768
235,collection0475,collection1008
236,collection0142,collection0190
237,collection0068,collection1641
238,collection0054,collection1399
239,collection0002,collection0110
240,collection0130,collection1500
241,collection0861,collection1805
242,collection0185,collection0869
243,collection0001,collection0970
244,collection1026,collection1167
245,collection0432,collection0647
246,collection0170,collection0354
247,collection0054,collection0295
248,collection0244,collection1207
249,collection0093,collection1008
250,collection1061,collection1110
251,collection0336,collection0710
252,collection0242,collection2008
253,collection0475,collection2012
254,collection0280,collection0727
255,collection0298,collection0483
256,collection1961,collection2304
257,collection0187,collection0363
258,collection0068,collection0582
259,collection0481,collection0725
260,collection0525,collection2047
261,collection0043,collection0701
262,collection0076,collection1640
263,collection0242,collection0466
264,collection0108,collection1378
265,collection0061,collection1210
266,collection0269,collection0595
267,collection0341,collection0502
268,collection0010,collection0354
269,collection0037,collection1203
270,collection0020,collection0859
271,collection0188,collection0859
272,collection0432,collection1210
273,collection0006,collection0940
274,collection0269,collection0315
275,collection0542,collection0749
276,collection0415,collection0970
277,collection0244,collection1382
278,collection0500,collection1072
279,collection0061,collection0077
280,collection0040,collection1378
281,collection0017,collection0481
282,collection0097,collection0159
283,collection0278,collection0638
284,collection0068,collection0268
285,collection0502,collection0970
286,collection0192,collection0509
287,collection0039,collection0124
288,collection1378,collection1483
289,collection0037,collection0284
290,collection0051,collection1626
291,collection0044,collection0818
292,collection0017,collection2269
293,collection0046,collection0818
294,collection1678,collection2040
295,collection0063,collection0256
296,collection0325,collection2047
297,collection0659,collection1192
298,collection0363,collection0912
299,collection0502,collection0995
300,collection0414,collection0856
301,collection0645,collection1061
302,collection0451,collection0935
303,collection0003,collection1378
304,collection0029,collection0107
305,collection0582,collection1383
306,collection0542,collection0634
307,collection0077,collection1043
308,collection1043,collection1132
309,collection0190,collection0950
310,collection0760,collection0837
311,collection0481,collection0500
312,collection0252,collection0484
313,collection0045,collection0282
314,collection0346,collection0464
315,collection1374,collection1412
316,collection0547,collection0858
317,collection0727,collection1640
318,collection0970,collection0976
319,collection1184,collection1489
320,collection0003,collection0282
321,collection0007,collection0595
322,collection0068,collection1585
323,collection1037,collection1043
324,collection0030,collection0710
325,collection0581,collection0877
326,collection0995,collection1036
327,collection0287,collection1805
328,collection0402,collection1846
329,collection0017,collection0339
330,collection0634,collection1376
331,collection0414,collection1626
332,collection0282,collection1412
333,collection0022,collection0500
334,collection0030,collection1768
335,collection0557,collection1441
336,collection0502,collection0749
337,collection0100,collection1585
338,collection0367,collection1110
339,collection0928,collection1399
340,collection0282,collection0531
341,collection0749,collection1210
342,collection0181,collection0950
343,collection0151,collection0331
344,collection0037,collection0100
345,collection0181,collection1330
346,collection0008,collection1678
347,collection0151,collection1194
348,collection0701,collection1216
349,collection0095,collection1207
350,collection0082,collection0773
351,collection0052,collection0298
352,collection0407,collection0856
353,collection0089,collection0214
354,collection0562,collection1184
355,collection0466,collection1804
