collection,betweennessValue,rph,reactionCountActual,reactionCountExpected
3890036,0.0033,,,
4112195,0.0016,,,
3890037,0.0016,,,
4453233,0.0012,,,
8438091,0.0011,,,
3890039,0.0009,,,
3890038,0.0008,,,
3909053,0.0008,,,
2764219,0.0007,,,
3869593,0.0007,,,
10141772,0.0007,,,
3869594,0.0006,,,
3909450,0.0006,,,
3750241,0.0006,,,
2764220,0.0006,,,
29997,0.0006,,,
3876894,0.0006,,,
10150353,0.0004,,,
126649,0.0004,,,
7694721,0.0003,,,
5694939,0.0003,,,
3750239,0.0003,,,
7781711,0.0003,,,
4461316,0.0002,,,
3909301,0.0002,,,
10152978,0.0002,,,
3909208,0.0002,,,
4554700,0.0002,,,
3750242,0.0002,,,
3746416,0.0002,,,
3869683,0.0002,,,
10197956,0.0002,,,
10212232,0.0002,,,
3892211,0.0002,,,
10122686,0.0002,,,
3909067,0.0002,,,
10779167,0.0001,,,
7162116,0.0001,,,
3224136,0.0001,,,
10126953,0.0001,,,
10152663,0.0001,,,
10205846,0.0001,,,
791818,0.0001,,,
10133151,0.0001,,,
10208599,0.0001,,,
10166897,0.0001,,,
10815697,0.0001,,,
10244468,0.0001,,,
4453234,0.0001,,,
10195074,0.0001,,,
