retweeted_domain,RP(H),retweets_count
lulaehaddad.obrasilfelizdenovo.com,-1.0,2
metro1.com.br,-0.96,2
fenaj.org.br,-0.92,8
cut.org.br,-0.9,86
guaiba.com.br,-0.89,74
vermelho.org.br,-0.89,62
haddadpresidente.com.br,-0.88,1228
theguardian.com,-0.88,606
esquerdadiario.com.br,-0.88,18
ptnacamara.org.br,-0.88,43
midianinja.org,-0.86,361
exame.abril.com.br,-0.86,304
lula.com.br,-0.86,5637
amp.theguardian.com,-0.85,80
obrasilfelizdenovo.com,-0.85,3217
secure.avaaz.org,-0.85,8
diariodocentrodomundo.com.br,-0.85,70
observador.pt,-0.83,83
renatorabelo.blog.br,-0.83,4
congressoemfoco.uol.com.br,-0.83,421
revistaforum.com.br,-0.83,2815
cartacapital.com.br,-0.82,34
jota.info,-0.82,12
pt.org.br,-0.82,1840
jornalistaslivres.org,-0.8,2
jb.com.br,-0.8,70
noticiasaominuto.com.br,-0.8,15
br.reuters.com,-0.79,9
huffpostbrasil.com,-0.79,37
sustentabilidade.estadao.com.br,-0.76,6
telegraph.co.uk,-0.75,12
boatos.org,-0.74,12
dc.clicrbs.com.br,-0.74,4
brasil.elpais.com,-0.74,380
mst.org.br,-0.73,6
vice.com,-0.72,157
brasil247.com,-0.72,533
brasildefato.com.br,-0.66,487
atarde.uol.com.br,-0.65,7
pragmatismopolitico.com.br,-0.63,41
apublica.org,-0.63,4
epoca.globo.com,-0.58,484
noticias.r7.com,-0.54,2
aosfatos.org,-0.51,84
universa.uol.com.br,-0.49,55
veja.abril.com.br,-0.47,329
tecnologia.uol.com.br,-0.45,53
theintercept.com,-0.44,60
redebrasilatual.com.br,-0.42,9
catracalivre.com.br,-0.4,459
www1.folha.uol.com.br,-0.39,222
uol.com.br,-0.38,74
tvefamosos.uol.com.br,-0.34,6
painel.blogfolha.uol.com.br,-0.33,10
blogdosakamoto.blogosfera.uol.com.br,-0.26,12
br.sputniknews.com,-0.25,12
diariodepernambuco.com.br,-0.24,33
efe.com,-0.23,4
agenciabrasil.ebc.com.br,-0.21,93
valor.com.br,-0.17,2707
extra.globo.com,-0.14,605
sul21.com.br,-0.12,22
correiodopovo.com.br,-0.11,10
oglobo.globo.com,-0.11,4766
educacao.uol.com.br,-0.09,6
diariodonordeste.verdesmares.com.br,-0.07,12
economia.estadao.com.br,-0.07,52
natelinha.uol.com.br,-0.07,33
noticias.uol.com.br,-0.01,34815
especiais.g1.globo.com,0.0,11
blogs.opovo.com.br,0.02,62
piaui.folha.uol.com.br,0.03,20
brpolitico.com.br,0.06,53
correio24horas.com.br,0.06,67
hojeemdia.com.br,0.09,11
josiasdesouza.blogosfera.uol.com.br,0.13,46
cbn.globoradio.globo.com,0.14,58
metropoles.com,0.15,2
correiobraziliense.com.br,0.16,1750
politica.estadao.com.br,0.16,302
justificando.com,0.18,25
entretenimento.uol.com.br,0.18,2
g1.globo.com,0.2,12115
odia.ig.com.br,0.27,134
bbc.com,0.28,452
esporte.ig.com.br,0.29,12
terra.com.br,0.31,3001
ultimosegundo.ig.com.br,0.33,109
redetv.uol.com.br,0.34,2
opovo.com.br,0.34,279
blogs.oglobo.globo.com,0.36,184
aovivo.folha.uol.com.br,0.36,35
uol,0.38,10
poder360.com.br,0.4,1624
f5.folha.uol.com.br,0.42,572
mauriciostycer.blogosfera.uol.com.br,0.43,189
economia.ig.com.br,0.46,7
buzzfeed.com,0.47,22
blogdoeliomar.com.br,0.47,18
band.uol.com.br,0.49,24
otempo.com.br,0.5,400
gente.ig.com.br,0.53,51
rd1.com.br,0.53,10
gazetadopovo.com.br,0.56,827
blog.jovempan.com.br,0.56,111
gauchazh.clicrbs.com.br,0.57,30
bol.uol.com.br,0.6,2
especiais.gazetadopovo.com.br,0.61,407
sbt.com.br,0.65,34
correiopioneiro.com.br,0.65,3
diariodopoder.com.br,0.68,818
fernandofrancischini.com.br,0.7,131
jovempan.com.br,0.71,607
enfimsos.blogfolha.uol.com.br,0.73,2
oantagonista.com,0.75,2502
istoe.com.br,0.76,239
internacional.estadao.com.br,0.79,245
noticias.band.uol.com.br,0.82,2
recordtv.r7.com,0.83,11
camara.leg.br,0.85,20
