retweeted_domain,RP(H),retweets_count
commentvoter.ca,-0.89,254
thewalrus.ca,-0.75,3
chooseforward.ca,-0.73,204
jonathanwilkinson.ca,-0.72,5
liberal.ca,-0.71,533
infotel.ca,-0.7,6
bloomberg.com,-0.68,163
flickr.com,-0.68,43
montreal.ctvnews.ca,-0.62,40
ctvnews.ca,-0.62,607
cp24.com,-0.62,616
nursesunions.ca,-0.62,64
bramptonguardian.com,-0.62,6
niagarafallsreview.ca,-0.61,10
gem.cbc.ca,-0.6,4
press-presse.liberal.ca,-0.58,1641
secure.liberal.ca,-0.58,144
enr.elections.ca,-0.57,24
owensoundsuntimes.com,-0.55,2
finance.yahoo.com,-0.54,20
2019.liberal.ca,-0.53,6
lactualite.com,-0.51,29
princegeorgecitizen.com,-0.5,2
bc.ctvnews.ca,-0.48,20
theguardian.com,-0.47,183
edition.cnn.com,-0.46,94
tvanouvelles.ca,-0.45,88
newsinteractives.cbc.ca,-0.45,154
rdnewsnow.com,-0.45,8
theconversation.com,-0.44,25
fcm.ca,-0.41,18
news.nationalpost.com,-0.4,23
bbc.com,-0.4,166
open.spotify.com,-0.4,12
blogto.com,-0.39,13
funetwork.tv,-0.38,37
ledevoir.com,-0.38,19
google.ca,-0.37,6
iheart.com,-0.35,4
huffingtonpost.ca,-0.35,1372
abacusdata.ca,-0.34,35
squamishchief.com,-0.34,17
pressprogress.ca,-0.33,45
politicaldig.com,-0.32,9
thetyee.ca,-0.3,95
tricitynews.com,-0.3,4
thestar.com,-0.29,1068
narcity.com,-0.29,37
ricochet.media,-0.29,250
macleans.ca,-0.27,137
beta.theglobeandmail.com,-0.27,27
chatnewstoday.ca,-0.26,14
thebeaverton.com,-0.26,1825
toronto.citynews.ca,-0.26,117
tiktok.com,-0.24,21
leaderpost.com,-0.24,78
lapresse.ca,-0.23,130
ici.radio-canada.ca,-0.23,104
smithsonianmag.com,-0.22,3
video.buffer.com,-0.22,2
journalmetro.com,-0.22,36
ckom.com,-0.22,2
candidats.es,-0.21,28
amis.es,-0.2,6
ottawa.ctvnews.ca,-0.2,22
greenparty.ca,-0.19,125
cbc.ca,-0.17,5351
burnabynow.com,-0.16,11
journaldemontreal.com,-0.16,38
hilltimes.com,-0.12,62
cpac.ca,-0.03,7
journaldequebec.com,-0.01,139
globalnews.ca,-0.01,1777
tvo.org,0.04,59
alaskahighwaynews.ca,0.08,15
ipolitics.ca,0.1,91
election.ctvnews.ca,0.1,3316
lesoleil.com,0.19,9
edmontonjournal.com,0.19,6
theglobeandmail.com,0.27,2237
traffic.libsyn.com,0.29,51
tmz.com,0.3,2
nuzzel.com,0.33,27
washingtonpost.com,0.34,36
paper.li,0.34,60
conservateur.ca,0.35,35
nationalpost.com,0.35,667
change.org,0.35,29
wsj.com,0.4,4
ndp.ca,0.44,16
news.sky.com,0.44,251
calgaryherald.com,0.46,87
nationalobserver.com,0.49,7
warrenkinsella.com,0.49,1355
rebelnews.com,0.49,203
torontosun.com,0.5,6700
bnnbloomberg.ca,0.5,28
canadagrowthcouncil.ca,0.52,50
montrealgazette.com,0.52,776
winnipegfreepress.com,0.52,77
680news.com,0.54,2
chrystia.ca,0.54,40
thelibranos.com,0.56,59
mainstreetresearch.ca,0.56,3
ekospolitics.com,0.56,3
nationalnewswatch.com,0.57,38
trudeaumustresign.com,0.57,64
redstate.com,0.57,59
realchange.ca,0.59,2
canadaproud.org,0.61,201
conservative.ca,0.61,1818
rebelnewsstore.com,0.61,37
nationalreview.com,0.62,28
tnc.news,0.63,696
vancouversun.com,0.63,4
ottawasun.com,0.64,4
citynews1130.com,0.64,4
thepostmillennial.com,0.65,3387
andrewscheer.ca,0.66,232
bnaibrith.ca,0.67,102
calgarysun.com,0.68,63
o.canada.com,0.7,138
newwestrecord.ca,0.7,2
policyoptions.irpp.org,0.72,4
beta.ctvnews.ca,0.73,18
nytimes.com,0.74,38
100days100trudeaufails.ca,0.83,98
elections.ca,0.87,33
