collectionName,link,rph,retweetsCount,itemsCount,platform,type,accountType,meanPostSubscriberCount,medianPostSubscriberCount,meanAccountSubscriberCount,medianAccountSubscriberCount,meanScore,medianScore,meanExpectedLike,meanActualShare,meanExpectedShare,meanActualComment,meanExpectedComment,meanActualLove,meanExpectedLove,meanActualWow,meanExpectedWow,meanActualHaha,meanExpectedHaha,meanActualSad,meanExpectedSad,meanActualAngry,meanExpectedAngry,meanActualThankful,meanExpectedThankful,meanActualCare,meanExpectedCare
collection_0001,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/21/editorial-new-york-times-bolsonaro-escolha-triste-do-brasil.htm?utm_source=twitter&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,-0.52,1549,383,{'Facebook': 383},"{'link': 374, 'photo': 7, 'status': 2}","{'facebook_group': 272, 'facebook_page': 110, 'facebook_profile': 1}",94169.04,0,120071.52,16778,-3.15,-0.44,35.57,344.64,13.14,70.39,9.72,2.6,5.98,2.23,1.97,38.16,4.21,53.79,4.2,5.61,5.5,0,0,0,1.54
collection_0002,https://oantagonista.com/?p=123030,0.64,1313,948915,"{'Facebook': 946604, 'Instagram': 2311}","{'album': 106, 'igtv': 16, 'link': 883966, 'live_video': 14, 'live_video_complete': 700, 'live_video_scheduled': 69, 'native_video': 5196, 'photo': 46554, 'status': 2925, 'video': 2034, 'youtube': 7335}","{'facebook_group': 651762, 'facebook_page': 294781, 'facebook_profile': 61}",148015.86,0,240934.03,25936,-16.75,-2.38,75.95,76.92,15.44,44.14,47.5,9.21,8.93,4.47,2.43,22.74,22.03,3.46,4.23,24.11,8.63,0,0,0.16,1.73
collection_0003,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/10/haddad-chama-bolsonaro-para-debate-e-diz-que-vai-ate-enfermaria-se-precisar.htm?utm_source=twitter&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,-0.43,1172,91,{'Facebook': 91},"{'link': 90, 'native_video': 1}","{'facebook_group': 64, 'facebook_page': 27}",267360.35,0,304485.37,29472,-2.67,-0.46,43.42,409.23,17.2,169.55,16.26,39.78,5.65,2.16,2.11,87.6,6.22,0.84,4.51,5.74,5.09,0,0,0,1.76
collection_0004,https://g1.globo.com/rn/rio-grande-do-norte/noticia/2018/10/09/medica-do-rn-rasga-receita-apos-paciente-idoso-dizer-que-votou-em-haddad-para-presidente.ghtml?utm_source=twitter&utm_medium=social&utm_campaign=g1,-0.34,1103,151,"{'Facebook': 150, 'Instagram': 1}","{'link': 86, 'native_video': 51, 'photo': 13, 'status': 1}","{'facebook_group': 110, 'facebook_page': 40}",184504.72,0,223310.87,30840,-4.07,-0.88,66.53,144.36,15.74,52.22,13.93,1.29,8.99,10.29,2.13,28.71,6.87,67.59,6.93,74.53,7.89,0,0,0,1.74
collection_0005,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/10/22/apos-fala-de-filho-de-bolsonaro-sobre-stf-eymael-anuncia-apoio-a-haddad.htm?utm_source=twitter&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,-0.52,983,90,{'Facebook': 90},{'link': 90},"{'facebook_group': 42, 'facebook_page': 47, 'facebook_profile': 1}",192154.5,0,226621.02,34434.5,6.69,2.08,33.86,450.78,13.94,141.52,12.13,81.22,5.7,8,2.12,120.73,8.06,1.08,4.26,5.27,5.06,0,0,0,1.49
collection_0006,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/09/goulart-apoio-haddad-ptb-voto-bolsonaro.htm?utm_source=twitter&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,-0.45,966,78,{'Facebook': 78},{'link': 78},"{'facebook_group': 58, 'facebook_page': 19, 'facebook_profile': 1}",202162.06,0,237714.46,26038.5,1.21,-0.68,23.45,169.82,7.74,35.4,10.77,22.09,4.96,1.21,1.91,17.76,5.38,0.22,3.35,4.44,3.63,0,0,0,1.63
collection_0007,https://g1.globo.com/politica/eleicoes/2018/noticia/2018/10/26/tse-da-prosseguimento-a-acao-de-bolsonaro-que-pede-para-haddad-ser-declarado-inelegivel.ghtml?utm_source=twitter&utm_medium=social&utm_campaign=g1,0.51,965,148,"{'Facebook': 147, 'Instagram': 1}","{'link': 122, 'photo': 26}","{'facebook_group': 109, 'facebook_page': 38}",45805.51,0,84681.65,35748,-19.28,-2.29,37.32,44.65,14.54,12.53,16.37,4.24,4.28,0.97,2.04,3.39,6.31,0.12,3.14,2.88,5.06,0,0,0,1.64
collection_0008,https://revistaforum.com.br/pm-faz-post-a-favor-de-haddad-alguem-que-apoia-a-tortura-nao-merece-meu-respeito/,-0.8,930,170,{'Facebook': 170},"{'link': 169, 'status': 1}","{'facebook_group': 139, 'facebook_page': 30, 'facebook_profile': 1}",56849.84,0,77396.42,18381,-3.01,-0.68,21.26,269.74,10.44,24.36,6.82,52.77,5.46,2.05,1.85,2.62,5.13,0.14,3.96,0.49,4.07,0,0,0,1.34
collection_0009,https://oglobo.globo.com/fato-ou-fake/e-fake-que-haddad-disse-logo-apos-1-turno-que-vai-fazer-lula-ser-presidente-do-brasil-23141928?utm_source=twitter&utm_medium=social&utm_campaign=o%20globo,-0.37,901,9,{'Facebook': 9},{'link': 9},"{'facebook_group': 1, 'facebook_page': 8}",688263.33,30094,735903.89,35290,6.08,3.19,100.44,1879.11,29.11,437.11,38.22,37.22,8.89,4.22,3.22,232.11,13.22,10,7.89,29.89,11.89,0,0,0,2.56
collection_0010,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/10/16/em-manifesto-juristas-dizem-que-so-haddad-pode-garantir-democracia-no-pais.htm?utm_source=twitter&utm_medium=social-media&utm_campaign=noticias&utm_content=geral,-0.53,822,156,{'Facebook': 156},"{'link': 150, 'native_video': 4, 'photo': 2}","{'facebook_group': 116, 'facebook_page': 40}",66666.01,0,90450.63,17498,2.71,1.13,16.62,329.42,7.74,72.98,6.75,28.29,4.38,1.15,1.76,58.79,4.38,0.44,2.95,4.44,3.47,0,0,0,1.44
