collection,betweennessValue,rph,reactionCountActual
collection2012,0.9975,-0.8,0.59
collection0002,0.99,0.64,0.51
collection0017,0.99,0.63,0.49
collection1378,0.9625,-0.73,0.55
collection2304,0.9575,0.6,0.86
collection0746,0.6675,0.62,0.54
collection0013,0.5675,-0.51,0.65
collection0280,0.5525,-0.45,0.54
collection1146,0.515,-0.4,0.44
collection0001,0.4975,-0.52,0.66
collection1043,0.4925,-0.13,0.46
collection0424,0.485,-0.75,0.64
collection0166,0.4625,-0.63,0.66
collection0014,0.435,-0.82,0.76
collection0032,0.435,-0.8,0.76
collection0525,0.4275,-0.67,0.75
collection0043,0.42,-0.5,0.41
collection1768,0.4125,0.38,0.7
collection0877,0.41,0.1,0.28
collection0061,0.405,-0.49,0.47
collection0044,0.39,-0.78,0.42
collection0151,0.3875,0.14,0.77
collection1216,0.3775,-0.56,0.79
collection1626,0.3675,-0.9,0.34
collection0647,0.355,-0.77,0.59
collection0748,0.355,-0.81,0.12
collection0298,0.35,0.37,0.59
collection1208,0.35,-0.77,0.01
collection0008,0.345,-0.8,0.75
collection0054,0.345,-0.49,0.73
collection0450,0.3425,-0.7,0.59
collection0010,0.34,-0.53,0.83
collection0282,0.34,-0.83,0.77
collection0502,0.3375,-0.56,0.38
collection1036,0.33,-0.28,0.71
collection1207,0.32,-0.83,0.6
collection0485,0.3175,0.16,0.69
collection0206,0.3125,0.33,0.84
collection0701,0.3075,-0.36,0.77
collection0068,0.3025,-0.47,0.65
collection0100,0.3025,-0.51,0.82
collection1132,0.3025,-0.74,0.74
collection1441,0.2925,0.17,0.78
collection0021,0.29,-0.8,0.68
collection2008,0.29,-0.8,0.73
collection0400,0.285,0.58,0.65
collection1989,0.285,-1.0,0.81
collection1995,0.285,-0.9,0.68
collection0004,0.28,-0.34,0.4
collection0015,0.28,-0.34,0.4
