collection,degreeCentralityValue,rph,reactionCountActual,reactionCountExpected
3890036,0.1272,,,
3890037,0.1078,,,
8438091,0.0979,,,
3890039,0.0939,,,
3890038,0.0929,,,
3909053,0.0895,,,
4112195,0.0885,,,
2764219,0.0876,,,
3909450,0.0859,,,
2764220,0.0847,,,
4453233,0.0845,,,
10150353,0.0796,,,
10141772,0.0791,,,
3869593,0.0744,,,
3869594,0.0739,,,
3750241,0.073,,,
7694721,0.0689,,,
4461316,0.0687,,,
10152978,0.0673,,,
3876894,0.0661,,,
29997,0.063,,,
10197956,0.0629,,,
126649,0.0611,,,
3869683,0.0585,,,
4554700,0.0577,,,
3909453,0.0545,,,
7781711,0.054,,,
3909301,0.0537,,,
3750239,0.0527,,,
3892211,0.0515,,,
3746416,0.0514,,,
10205846,0.0512,,,
3750242,0.0508,,,
3909208,0.0508,,,
3224136,0.0504,,,
5694939,0.0502,,,
10779167,0.0487,,,
7162165,0.0483,,,
3909067,0.0481,,,
10122686,0.0476,,,
3890044,0.0473,,,
10166897,0.0464,,,
10152663,0.0456,,,
10151682,0.0456,,,
10247254,0.0455,,,
10826001,0.0455,,,
10244468,0.0452,,,
398268,0.0447,,,
10118995,0.0443,,,
3890041,0.0442,,,
